	decidua_induced abortion_rep1	decidua_induced abortion_rep2	decidua_induced abortion_rep3	decidua_recurrent spontaneous abortion_rep1	decidua_recurrent spontaneous abortion_rep2	decidua_recurrent spontaneous abortion_rep3
ABHD14B	5.895341402936806	5.344121886203519	6.0903093539491575	5.637361004518677	4.960553411261476	5.495279432617278
ABHD15	2.2214688009202095	2.6318376696768775	3.3856919412203537	2.899169828746163	3.1285309707505955	3.0173981680757214
ABHD16A	0.0	0.0	0.0	0.0	0.0	0.0
ABHD16B	2.1164878596418326	6.530116013065373	6.4217265554501015	6.575331998166142	6.751303031896141	6.538798868092319
ABHD2	2.2457451161435427	2.297816497903301	3.1747691241222635	2.923122551708994	3.648200809619677	3.416123620040482
ABHD3	2.210388864445403	2.348787630984662	3.0148176669144013	2.621268890068046	2.9987912366629255	2.940642244552718
ABHD4	3.0904402050921025	3.9974098420273556	4.5100884447534035	4.43156279045411	4.519497873276568	4.412009171992325
ABHD5	3.3262957282600616	2.314264377399513	3.6560272181758466	5.156267163051804	3.8029789873113162	4.082574866339516
ABHD6	1.0500628145833009	1.5159697467950284	1.9094927928450902	1.8160753672162948	1.453886272046763	1.937193711170317
ABHD8	2.5639585918408367	3.517363890210454	2.17972759751292	2.1791829829750036	2.3334523583428233	2.403098625298383
ABI1	3.30955456875698	3.9076021496597857	4.205572369438266	4.356263560214701	4.637981130906372	4.5623157021081715
ABI2	1.9242063256170356	2.193983007856905	2.5871177191825994	2.7147686402137956	2.7445550913069976	2.7188284741187245
ABI3	4.588024974955364	4.082327903156667	3.476938955368419	4.090142067404529	3.816353946207098	4.391870805190768
ABI3BP	5.3495811278057195	4.892536745325768	4.921807620845563	8.077761053933951	4.744634738572076	5.365115091708161
ABL1	3.023402630992101	3.798019399513771	4.936590829823938	4.988512007425625	5.700725454437781	5.163933407486935
ABL2	0.9882091324683967	1.2781037275514422	1.1913415552729976	1.9094659108177805	1.5748039089659556	1.422459076967523
ABLIM1	3.5625965662006465	6.1621193815491795	3.9803543946493662	4.408657521209807	4.680881296166658	4.39474048848377
ABLIM2	2.2727070376529444	3.0422363331860915	0.72585543348978	2.3035265192599588	1.61201744317511	2.455628387421988
ABLIM3	4.888602016141823	4.76199261630401	3.8793626933852448	5.183053720436522	4.709224455533851	4.684981396175618
ABO	3.1741427206592534	3.206294697275845	2.3814855017944514	1.5508563491021683	3.976262808540857	2.2616030234070985
ABP1	2.965004787963374	6.395295915812825	5.93044876969696	5.405648657891027	8.100846277466315	4.243905144561571
ABR	3.342136553620859	4.1100207380436435	4.017432020960813	4.351395116012711	4.766436149104509	4.7071216545970005
ABRA	0.0	0.0	0.09496270780028201	0.026042790922202276	0.0	0.017348563255649305
ABT1	2.621381433012713	3.5245652210772	4.059926289076135	3.075625042836539	3.0687275544077486	4.211370485772226
ABTB1	5.263443862722107	4.92049815979615	4.36600741007519	4.004627229304884	4.112875246952812	4.7161129421241474
ABTB2	2.665711111241655	2.4677542133697767	3.9984482686259155	5.308779508252663	5.023290842516683	5.354007773668718
ACAA1	6.094343761152837	5.8839262326004835	5.535573995253095	5.421166061647033	5.455133203823587	5.66361218203141
ACAA2	4.100750632393286	5.080359202649756	5.398288797259617	5.052802775308314	4.944464929859955	5.115957111138337
ACACA	1.688426569468671	2.6110330623396663	2.962304697238201	2.649647646322792	2.6388036909889077	3.404813223316401
ACACB	2.9193171974746615	2.446274759798613	1.484473302908547	2.589650846928503	2.0548033378164674	2.8054059679121583
ACAD10	4.487177608389148	2.8841231307597153	3.519667700893718	2.6870181237278694	3.0077337200416303	3.0974995565053125
ACAD11	4.073948733659099	3.2874220570143526	3.7171444811386616	3.830072744344925	4.208883973617272	3.7367239225062905
ACAD8	2.6462433167663617	3.145454105455009	3.699651569450868	3.5103163586623904	3.8226791684204633	3.778786800356923
ACAD9	3.7437303760446285	3.8085498029948557	4.051041409954214	3.7288347789848233	4.157253953071429	3.8391937080963787
ACADL	0.1573011726535436	0.24938587230434667	0.5468258260888704	0.5437641057332052	0.8863277268876263	0.5323169593327652
ACADM	2.026977066281044	2.5134477925569487	3.2368385175793852	2.9218209474294587	3.033870497978703	3.2057740947753
ACADS	3.870709938628456	4.075524074231893	4.257500990807755	3.7151246067577683	4.557600018829535	4.15562781584529
ACADSB	1.4310559319884646	2.4871415843063516	3.5138823171921656	1.926925483351378	2.920619156211473	2.257261106267614
ACADVL	7.155526627345099	8.082830301014562	7.490008473906407	7.488402535029733	7.5960108061267055	7.249966725746948
ACAN	1.2877086862454172	0.9923638394528088	1.1945787961559058	0.5370733703591727	0.9904197844559576	0.4803778443599619
ACAP1	4.970973260578377	4.061931689271336	4.049735307055895	4.7985223471956795	4.6921146993560665	4.874393702340625
ACAP2	1.6065748836455525	1.967777289039158	2.336000534773871	2.651963243827027	2.8380320203926943	2.864289172930226
ACAP3	4.39880182603374	4.366769817446083	4.182684353138365	3.7977289581134466	4.436175167921034	4.480601194655618
ACAT1	4.496935244925406	4.260048244955398	5.229941631892586	5.5679621579113805	5.1386752375263685	5.529055678046673
ACAT2	0.0	0.0	0.0	0.0	0.0	0.0
ACBD3	2.8560355280528036	3.3694427526227506	3.757556688939453	3.811316888210026	4.208501652894635	3.728203521667434
ACBD4	3.245780097002675	3.0787003418445114	2.9562499903388266	2.8772927237073276	2.9667719041037732	3.659376595475911
ACBD5	2.0949217782752934	1.9549518985360306	3.0469903816450685	2.462212027555901	3.283893629111377	2.6025067650386102
ACBD6	3.8550328972020798	4.3694315849451035	4.1786748091777355	4.085908985981152	4.165928013442693	4.484125238426984
ACBD7	0.1134746103724855	0.2227489290584849	0.18518784340903113	0.031337317916247935	0.09612891385458319	0.2089566811124835
ACCN1	0.03479436795070194	0.18435647432439997	0.14494043289088385	0.052943765520987215	0.07379693066576366	0.11168318310392007
ACCN2	0.3728529440345803	1.1301335440611537	1.0838805136243357	0.2871554702710195	0.6928993891719489	0.5250144576114766
ACCN3	2.023436343276716	4.012890428336391	4.405488689534773	1.5370922611483901	4.296883178188675	3.7737642940928313
ACCN4	0.0	0.12874118734499754	0.44933950605094203	0.0	0.07923800800255529	0.0
ACCN5	0.0	0.0	0.0	0.0	0.0	0.0
ACCS	4.845986754330953	5.084757374481128	6.035727269849605	6.102137390755677	3.1466763997367613	5.7650679165643846
ACCSL	0.0	0.0	0.0	0.020719660462083202	0.0	0.08102923736217954
ACD	3.552168005353334	4.428041865246422	2.8776873261645313	2.737515877364458	3.0349358264478403	3.0557960736583825
ACE	4.325487158002637	5.013765953111734	4.242884463142263	4.737032317268888	4.091911357491912	4.774328486386382
ACE2	1.3171303787285944	2.9470021585999815	3.252900028700081	1.2896987451499213	1.8547856206697748	1.331802653874684
ACER1	0.6728597823537186	0.7353965317167382	0.36330005866511267	0.6199172201110947	0.4288456071140932	0.461659517131106
ACER2	0.27253804671520837	1.3944318253222807	0.4855195688704905	1.7423253368033624	1.949822509578355	0.8909166837116586
ACER3	1.7974446838409213	1.7018063016855633	1.7290262783177959	2.190036402104489	1.916449892228659	1.945109490373748
ACHE	0.9924305540767651	0.8552769415103422	1.4820841491974468	1.2908077346909645	1.5893704068840842	1.1273163141907978
ACIN1	5.548997563703093	6.795689035160117	6.488977666602854	6.5389028263756535	6.414639576164709	6.597574376960425
ACLY	3.757065929161296	5.327486177533501	5.644404309754061	4.564628149005577	5.111886823968929	4.9937966188618725
ACMSD	1.0122468468948382	2.7357409477942833	3.3885146925168845	0.0	2.4146280764713834	1.8769117612389112
ACN9	1.232409030589366	1.9367528789429755	2.5646318069343685	1.9755127997577668	2.772413554748482	2.551853119768747
ACO1	2.849775134090334	2.9995130082392167	3.731845773137171	3.676865397874285	3.7174845078739156	3.632093685381645
ACO2	3.97193894764755	5.98575770619498	6.394646181746152	5.54363816622901	6.3851704311797395	5.42523101217197
ACOT1	1.924890395161223	2.960348600740111	3.171944962729165	3.6221572714835	2.273238364274715	4.106440453380663
ACOT11	1.0296790345831601	1.8296588111819223	2.5378948911245196	1.7817961283372454	2.4722460023070996	2.2257407377920853
ACOT12	0.0	0.0	0.039704549383557296	0.0	0.034226281913286	0.0
ACOT13	2.395490607614529	2.571239931201488	0.0	2.7859313143927213	0.0	0.0
ACOT2	2.4991953320557108	3.621395500263519	4.909341094843341	3.6221572714835	4.211650826376095	4.106440453380663
ACOT4	1.7789822927595476	2.3582133814547044	4.909341094843341	1.8903961050484748	4.211650826376095	2.5066247903513434
ACOT6	0.09171039411816845	0.0	0.3978281472107326	0.0	0.0	0.11069771738628902
ACOT7	4.0170756349677355	4.539971455525856	3.510544236571708	3.702491324709825	3.47253975953651	4.011763972334537
ACOT8	4.4984487457544855	5.3269687115878925	4.36142448547825	4.270207477103421	4.303101243173226	4.58181519728167
ACOT9	5.267011358767853	4.929790997718597	4.540665872694409	5.02697264137228	4.550211157565391	4.995000524317846
ACOX1	1.8615385694761846	2.103403639058384	2.7284016355994067	2.5181977153456288	2.6686978116873235	2.2410744064636314
ACOX2	1.0968825237551147	1.3843151056265233	1.7787300395359982	1.3937017456493008	1.0126973840475826	1.4851485662934802
ACOX3	3.3824417707997654	2.912596217869039	2.9511364157821713	0.0	3.1147234898464315	0.0
ACOXL	1.2927699720774013	1.3951779911007074	0.9949699412638201	0.9696253686956934	0.8301790491852311	2.6886749760453132
ACP1	4.467866352730409	5.0185985691824015	5.459916807192095	4.921788582655023	4.876158376943491	5.1631364028766695
ACP2	5.859798143483764	4.991022910444924	4.6709989148744935	4.942627101533857	4.533700385276324	4.691802132918155
ACP5	5.161472545589795	5.041023897473311	3.8658891291636603	5.019056915839552	3.7268421134795675	4.655466323675579
ACP6	2.4646682670034443	3.066893430232764	2.483439176649265	2.0037785153292345	2.3288393358330532	2.170094908852777
ACPL2	2.1465639919063184	3.3469015909170454	3.1569612218602026	2.267781469763645	2.183816779976399	2.525825837355867
ACPP	2.533234406148193	2.494305515892048	3.2544353136610344	2.260480379596828	3.332580483982806	2.760963929388839
ACPT	0.0	0.11246247711875205	0.0	0.0	0.0	0.0
ACR	0.23926727039693388	0.19621169652479817	0.2026145603974943	0.2284653215894334	4.579294815615646	0.2815629493712834
ACRBP	0.8818071200151032	0.9365282664567535	1.35268508920325	0.9832807621707135	1.2322186718591503	0.9630094273552705
ACRC	1.1851751543518882	1.0744437814119807	1.1687190456942216	1.1231033097961138	0.6688715993970945	1.5774264109530272
ACRV1	0.0	0.0	0.0	0.0	0.0673157262791771	0.17130548081071456
ACSBG1	1.008078074624654	0.8961594518000856	0.0	0.0	0.6256950515644328	0.0
ACSBG2	0.0	0.5937247361578973	0.5316384712900197	0.0	0.5671413975180494	0.3791917491136281
ACSF2	3.4138336993542997	3.8223936497905644	3.102318831399945	2.8241649922234164	2.4761587201613735	3.33221382443186
ACSF3	2.597876759894543	3.6479936713485026	2.876053245119074	3.728453880894247	3.024535996304526	2.5913921895981145
ACSL1	3.318908261219315	3.966587353707174	5.063675503162878	5.302523777735645	5.262647381037232	4.290770880383337
ACSL3	2.063399395884049	2.29030938475349	2.9124505944502523	2.6528650451411773	3.0710229440538543	3.7883516180882433
ACSL4	5.146031972279522	6.360959423510834	7.295576103103833	5.519107823071703	6.930962002083537	5.553480313323258
ACSL5	4.790589604628329	5.098840608031166	5.976182600060448	6.152280785513417	6.910696690002308	5.896431708776175
ACSL6	0.04463808032071725	0.026486491348341138	0.03257371566443731	0.06745919479672383	0.05249978227241475	0.05364048252435449
ACSM1	0.11837819977403903	1.0356168721767718	1.073648881662408	1.1776053072757968	1.321050669538158	1.379975770392432
ACSM2A	0.0	0.0	0.012886953767475841	0.012078824882655331	0.0	0.0
ACSM2B	0.0	0.020049257937402466	0.04799422791743935	0.0	0.0	0.07884507317416807
ACSM3	1.5245000300473897	4.277248338720519	5.048907496549145	3.6773165467184667	3.807571310085041	2.6661203025958313
ACSM4	0.0	0.0	0.0	0.0	0.0	0.0
ACSM5	1.231075991715076	0.38522007076244297	1.6807699255009112	1.959005954959544	0.9673789083610231	1.9979896471222958
ACSS1	3.7755352224535383	3.184015220485191	5.987455032148627	6.609729849511531	6.131274621780901	6.647501598727883
ACSS2	3.633884524355911	3.0781828376112683	3.6726968825408814	3.263662442580601	3.2613337287368194	3.223200104429181
ACSS3	1.4112092827903633	2.172797911174101	2.34094674657713	1.8611375390489509	2.0583753799009834	2.090551990842736
ACTA1	0.2680702303156327	0.20888428567443723	0.24466789892752	0.19642449259726855	0.28438265011866	0.1693978405534543
ACTA2	7.175774077139	7.951197276254203	8.650929667035074	7.995224448526102	7.779949117626655	8.796983786319215
ACTB	10.784544878775932	11.013483196598926	10.657693590845016	11.149670918810585	10.808103447924566	11.259707960770086
ACTBL2	0.014597673950326705	0.05057747830273502	0.0	0.0	0.058132622522719064	0.0
ACTC1	0.5011802648627726	0.4548033817013839	2.0512676809307786	0.39349857507302816	0.21375164631100604	0.5153087597418888
ACTG1	9.679705283107712	10.088933958129271	9.989479653949854	10.281721429460193	10.064338591882816	10.404449739976632
ACTG2	1.9705297476669499	3.243295869390208	5.279887254841131	4.517704028144574	3.332875462692242	3.41529085034866
ACTL10	1.4696463752533195	1.7250736329642853	1.5941042074915164	0.9644400363097724	1.065427552320538	1.4242610373810416
ACTL6A	2.5116501990186424	3.1059194007466826	4.1509495414719275	3.8860428225552877	4.083485709747398	4.330615762510319
ACTL6B	0.3788300907755199	0.06560236455522298	0.0	0.0	0.0	0.0
ACTL7A	0.0	0.0	0.0	0.05416137528590684	0.0	0.054183190863162874
ACTL7B	0.0	0.0	0.0	0.0	0.025708083649934228	0.0
ACTL8	0.1313218596601158	0.0	0.021547809638926288	0.0	0.0	0.026828098690189862
ACTL9	1.1047123826170981	0.8358642638084212	0.8999342962939959	0.6824717208499087	0.9636331815827899	0.8953956954303609
ACTN1	4.48453130549221	5.599561793264342	5.826812851234082	5.879531789508846	6.057896442191829	5.801546703356778
ACTN2	0.30338214404620517	0.2187241406876027	0.09554964183262928	0.32518490686687823	0.26410160534891286	0.24208661021150066
ACTN3	0.04234414156930697	0.08140862426050556	0.18912873541540484	0.14405159203274204	0.25412959703639565	0.17355474060871762
ACTN4	5.1461216064794035	6.458751096294733	6.874231381532857	7.060490589690759	7.35002864870364	7.825690241617581
ACTR10	3.486212366819431	4.258353088164088	4.599781952575965	4.607697229518343	4.2963105607080925	4.829296522214826
ACTR1A	5.266149365835679	5.569214605626905	5.460418215776755	5.830731951465188	5.622125050848534	5.749008580404402
ACTR1B	3.999801615792651	5.043663843434173	5.229253357115053	4.9322171146195375	4.929076099652863	5.302907562174506
ACTR2	4.387996613745707	4.701571235020732	5.445011534082606	5.326533752902615	5.718136915394323	5.42630166038226
ACTR3	4.854015601326654	5.138327100288718	5.885567043505215	5.930254781805882	6.0693154945400805	6.302728475474659
ACTR3B	1.7989214695267908	2.099689071968058	2.2071713237238733	1.2491783191869446	1.8852854059821351	2.0597152142007022
ACTR3BP2	0.0	0.038772583973226936	0.0	0.0	0.0	0.0
ACTR3BP5	0.0	0.0	0.0	0.0	0.0	0.015539816276963683
ACTR3C	0.0	1.3040320109002075	1.7963028725959416	0.8663541300895162	1.7488390322336713	0.0
ACTR5	2.4042219308387933	2.6472868758579207	2.4738206736595143	2.062311709518979	2.1122697618347295	2.5062972654715225
ACTR6	2.013226406788456	2.5782890522533193	3.340290224866647	2.9012163928058556	3.135306660303225	3.1912941732727345
ACTR8	4.416123620040482	2.9412096252513007	2.638736513528078	2.7620149478017475	3.1394727694223725	3.0692226778153904
ACTRT1	0.0	0.0	0.028934871463506772	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.0	0.0	0.07245392659109962
ACVR1	2.5353164403480712	2.439346539091067	3.4207356970167146	3.3575463745776704	3.635208779937483	3.6522340729092373
ACVR1B	1.9201636995911027	3.1809657506920423	3.663219360215453	3.296172511214736	3.828976779909123	2.9103546723328946
ACVR1C	0.20704322261100505	0.09424688157136768	0.2679084835994608	0.1282907611262661	0.055834797338321335	0.3606822805946107
ACVR2A	1.1593062546411692	1.307515958605861	1.5937170883543708	1.2799941963956725	1.5825126492562616	1.850843419253768
ACVR2B	0.521646793653987	0.8357171518918185	0.616748197594701	0.5538234677932219	0.7912406291602385	0.5585478179040896
ACVRL1	3.614462503764134	3.684381150928299	4.499393080792079	3.1430896958267063	3.6417887698499607	3.3229693448608595
ACY1	5.164758125367299	5.3899625349894835	4.616510616448522	4.735348870185885	4.144568517664712	4.588588722156938
ACY3	3.7713891046154564	2.7758638699391867	3.169955458016135	2.87056988828868	2.170546829275569	3.3017588284549553
ACYP1	3.2361542916008172	4.011343561032899	2.0517757910138026	3.459707015948924	3.7238315664953205	4.100473120690167
ACYP2	3.327013278459327	3.4175231040979472	3.5745011919002283	3.4257707987317425	2.674108070218085	3.5307824227661406
ADA	3.0986250456467856	3.556024692843669	3.609873133531881	3.5753728451498477	2.8515171923115017	3.4281517730225977
ADAD1	0.0	0.0	0.0	0.019674020882835215	0.0	0.026124826283252633
ADAD2	0.13670365554194852	0.7225928011921524	0.3025612103492738	0.3029752438488104	0.24461919214017944	0.6328907669536227
ADAL	0.7314396013463661	1.1298896457028842	1.295728901086211	1.236743633133655	1.3076733253985435	1.1318528459646624
ADAM1	0.27481984269217163	0.36975010901784	1.3349514942644072	3.6393363669929113	0.7120850794641231	3.530932205524039
ADAM10	3.721930379159532	3.797874186122517	4.368914985373993	4.310747275463411	4.622127980026903	4.4249556701066375
ADAM11	0.6181155278330185	0.3872765059976306	0.514958465221671	0.1861227198391563	0.510387764279539	0.5757334587088451
ADAM12	1.2148335417321376	4.280265970506327	1.3628794241538063	3.519013440241622	5.4231747515708015	2.1758694653787214
