ID	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
A1BG	3.45015764848812	2.84240301199672	4.50040279161563	3.81249083610831	1.67984088330691	3.12482974493283	2.34324343971433	3.79710868954716	3.64484054941519	3.09915264090403	3.18278588135043	2.8621681366377
A1CF	0.170009104669454	0.170009104669454	0.170009104669454	0.174691435505344	0.170009104669454	0.170009104669454	0.648724077569742	-0.110081933178607	0.652951728203429	-0.110081933178607	-0.110081933178607	-0.110081933178607
A2M	10.3576229725879	10.3654579415688	10.9857842713868	10.3098534565076	11.0067741891878	10.6158553381515	10.4167597737711	11.1763868518041	10.4406499019391	10.109147302521	10.4435177575627	11.1381579113848
A2ML1	1.13542174367501	1.09061691108884	1.16056028017407	1.07833403589437	1.32331548038405	1.12892220996338	2.14899936343379	0.841965567643399	0.585469443502381	2.0411254091283	1.55722374521631	-0.632383350220085
A4GALT	5.47819199044084	6.50782706790589	6.23470000275109	9.58744466600526	6.59422975344771	6.1394355736161	7.07330900069527	5.71219059851844	7.57502306341226	7.07191008606214	6.94425040132352	5.73295003430894
A4GNT	1.71985942217463	1.71985942217463	4.03857137962073	1.75499503760772	1.71985942217463	1.9623074134353	1.54834252928452	2.31202290467942	2.11619856691992	2.50713736020879	1.47794676152227	2.6770280305253
AAAS	7.30289297435326	7.72296602440938	7.68289745198313	3.8449276814669	7.60530685513906	7.64022395001434	6.59618460320949	6.89548525047041	7.24043853023918	6.83844314201842	7.26653022426134	6.56385241600333
AACS	6.16779910800333	7.43867061293822	6.56118602873896	6.60003109246846	6.48165889328424	6.414166489461	6.5771636347413	6.73003947241693	7.20165234986299	6.62621098876949	6.30443170852195	6.29557091967557
AADAC	5.21799088835078	5.90288435218695	6.43072682138592	4.27331732887574	3.79020944356164	5.78092542683926	4.74226585315597	7.11815417092401	5.69128460933099	3.50521129195246	5.01637332645102	5.02119058637915
AADACL2	4.86577254537299	3.0824354472308	5.45914682870252	5.88734191994195	3.88547707378659	4.7194858882418	3.90872824484519	6.01005087804206	4.00317590859853	3.02833090665887	4.40638553381954	6.13982164325601
AADACL3	2.33901118530507	4.27110699488973	2.33901118530507	2.35052419282638	2.41717389720258	2.33901118530507	4.83073114946606	-1.45863828100742	5.08446024560154	3.69890392449125	4.17376278707551	-1.45863828100742
AADACL4	4.8645459531253	3.96211089434092	4.46150444032413	5.14687153779681	3.88738864202469	4.08619574418435	4.61778389652468	4.4248262672992	3.74090789637131	4.29229458372798	4.17039120210168	5.14811887697456
AADAT	4.27375381677206	4.58943906452748	5.08831811107719	5.03490685386165	4.50378935961772	4.95953039152232	4.9855450712207	5.0075358177005	4.87592860146584	4.37398617357728	4.77721168281294	4.53875131477017
AAGAB	6.07348336250998	6.57653776415519	6.55250922220167	6.63108079442038	6.38366294127059	6.66515778029231	6.47323049665597	6.35010226983741	6.55553012258788	6.52287631571201	6.41297751684118	6.71317101300434
AAK1	5.98327073411649	5.3606442417025	5.95228105372381	6.12221905453391	4.49094622609641	5.44926023627974	5.70406772681038	5.35236511157803	5.58418746878669	5.51959602326473	5.82076101093274	5.53218576771274
AAMP	7.52924826891519	8.19860681777865	8.34875689540991	8.19791942153731	8.3347275804279	8.60352608064664	8.0456686596849	8.49910829680634	8.31420571069205	8.15758584566276	8.21997712005986	8.02054786414776
AANAT	1.73012983322191	1.77374148947914	1.85490141500599	2.038639276262	1.51124555894492	2.41142957413067	1.97713315397249	2.31190167827424	1.88130575097133	2.15219762284611	0.853652238470933	2.04878868139577
AARS2	5.01883738145312	5.46827485595607	5.47897871953093	5.17795773451715	5.6654602290175	5.5393135694164	5.29979348655632	5.66871139270541	5.63823948854855	5.42381988955515	5.11296435771062	5.36885682242564
AARSD1	6.01962882744326	5.72458109617671	5.2186454827308	5.06899699410465	4.92885256396359	5.62158449093974	5.27510924104703	5.38244307335469	5.84174024665802	5.07052758388277	5.4084477200397	5.43794081318584
AASDH	6.06413884805214	5.63723060989636	5.30009895863919	5.40798231103743	4.95598918707077	5.30063550381097	5.50503546756217	5.51975169843856	5.15305045776721	5.49837765320926	5.30088770763379	5.74001890754959
AASDHPPT	5.15874270870157	5.63770890544186	6.53507250139037	6.18690232927697	6.49685258019725	6.49776555854665	6.07954584746617	5.93683744663258	6.12189832137694	6.06779408773173	6.18281641848795	6.1500663722706
AASS	6.21406608405543	5.35410032430427	6.72395251490691	6.34508651052306	6.34060799733376	6.70481385766166	6.0063709115776	6.68457430465303	5.68686348138967	6.10053709031957	6.1022912584601	7.14940353164531
AATF	7.24403084085502	6.6662463374907	7.02210449716771	6.85491193286	6.86009751112381	6.77766608216264	6.7027751244148	6.94706119167226	7.0864320966355	6.99535815034382	6.83052096466904	7.00993136013529
AATK	0	0	0	0	0	0	6.88008115662959	7.06669849030451	7.02315830211397	7.40963932714885	6.76017854654326	7.0265338161315
ABAT	4.9744545514831	5.90088033618104	6.13938486551172	5.57765366579579	8.04382969185894	5.48827611283258	6.78341618864027	5.87056636093291	5.85945677517863	5.05229159423575	6.00250666273168	6.35216157520502
ABCA1	5.76874086762286	6.62876371589196	5.93004344689987	7.19580471222901	7.92237812612782	7.51809150764489	7.20742515413338	5.85798552399761	6.61924153328027	7.40337638684805	7.72504088801368	6.11946246047373
ABCA10	2.4627674689755	2.67378513422132	3.13780223753947	2.76296836420863	3.25598666470969	2.98375756024165	2.69465826791358	2.3222645758467	2.82599463886796	3.02053537015586	2.71960229346486	3.6341032182989
