ID	Type	batch
GSM3119483	Control	GSE113790
GSM3119484	Control	GSE113790
GSM3119485	Control	GSE113790
GSM3119486	RSA	GSE113790
GSM3119487	RSA	GSE113790
GSM3119488	RSA	GSE113790
GSM5393469	Control	GSE178535
GSM5393470	Control	GSE178535
GSM5393471	Control	GSE178535
GSM5393472	RSA	GSE178535
GSM5393473	RSA	GSE178535
GSM5393474	RSA	GSE178535
