Gene	Color
GAPDH	darkgreen
GATAD1	steelblue
GATM	green
GDF7	green
GFRA1	green
GHR	green
GIPC2	green
GLIS3	green
GLT8D2	darkgreen
GNB5	green
GNRHR	green
GOLGA7	darkgreen
GOT2	green
GPC4	green
GPC6	darkgreen
GPM6B	green
GPR146	darkgreen
GPR151	green
GPR161	plum1
GPR176	darkgreen
GPR18	plum1
GPR63	green
GPX3	green
GRB14	green
GREB1	green
GRID2	green
GRIK1	green
GRIN2A	green
GRPEL1	steelblue
GSTA1	green
GSTA2	green
GUCY1A2	green
GYS1	darkgreen
GZF1	green
H2AFY2	plum1
HAND2	green
HAO2	green
HECW2	green
HELB	darkgreen
HEPH	green
HERC6	green
HES1	green
HGFAC	green
HHIP	green
HIF3A	green
HIP1	steelblue
HIPK3	green
HIVEP1	steelblue
HLA-B	green
HNF4A	green
HOMER1	green
HOMER2	green
HOOK1	darkgreen
HOPX	green
HPCAL4	green
HPSE	darkgreen
HS3ST3A1	green
HSPB8	green
HSPB9	darkgreen
HTR1B	green
HTRA1	plum1
HUS1B	plum1
HYDIN	darkgreen
ID1	plum1
IFI35	green
IFT52	green
IGBP1	green
IGFBP1	green
IGFBP3	green
IGFBP5	green
IGFBP7	green
IGSF11	green
IGSF3	green
IKZF4	steelblue
IL20RB	steelblue
ILDR2	darkgreen
IMPG1	green
INPP1	darkgreen
INPP5A	darkgreen
INSR	green
IRAK1	green
IRAK1BP1	green
IRF1	steelblue
IRF2BP2	green
IRS1	green
IRS2	steelblue
ISM1	green
ITGA11	green
ITGA3	plum1
ITGA9	green
ITGB5	plum1
JMJD7	darkgreen
JUP	green
KALRN	darkgreen
KANK1	green
KCNG1	plum1
KCNJ8	green
KCNQ1	green
KCNQ5	green
KCNS1	green
KCTD15	green
KDM1A	green
KDM4D	green
KDM5A	green
KIAA0895	green
KIAA1211	green
KIAA1217	green
KIAA1841	darkgreen
KIDINS220	green
KIF11	green
KIF18A	plum1
KIF1A	darkgreen
KIF3C	green
KL	green
KLC3	green
KLF12	green
KLHDC8A	green
KLHDC9	darkgreen
KLHL13	darkgreen
KLHL24	green
KTI12	green
LAD1	steelblue
LAGE3	darkgreen
LANCL3	green
LARP6	green
LAYN	green
LCA5	green
LEAP2	darkgreen
LINGO2	darkgreen
LONRF2	green
LOX	green
LOXL4	green
LPL	green
LRAT	green
LRIG1	darkgreen
LRIG3	darkgreen
LRP11	green
LRP2	green
LRP5	green
LRP5L	green
LRRC1	darkgreen
LRRC15	green
LRRC17	green
LRRC2	darkgreen
LRRC49	green
LRRC8C	green
LRRFIP2	green
LRRN1	green
LRTM2	green
LSAMP	darkgreen
LZTS1	green
MAMDC2	darkgreen
MANBA	green
MANBAL	darkgreen
MAOA	green
MAOB	green
MAP9	darkgreen
MAPK8IP1	plum1
MARCKS	green
MARK1	green
MASP2	darkgreen
MATN2	green
MATN3	green
MBD2	steelblue
MBOAT2	green
MCF2	green
MCF2L	green
MDFI	green
MDGA2	green
MDH1B	steelblue
MDK	green
MEAF6	darkgreen
MECR	steelblue
MED11	green
MED6	green
MEGF6	green
METTL2B	green
MEX3A	green
MEX3B	plum1
MFAP2	green
MFSD6	darkgreen
MIS18BP1	green
MKX	green
MLXIPL	green
MMD	green
MMP16	green
MOBP	green
MOV10L1	green
MPPED2	green
MRAS	green
MRPL12	green
MRPL18	steelblue
MRPL46	green
MS4A14	steelblue
MSH2	darkgreen
MSH6	green
MSI1	green
MSRB3	green
MSTN	darkgreen
MSX2	green
MTMR1	green
MUSTN1	green
MXRA7	darkgreen
MXRA8	green
MYB	green
MYCBP	green
MYCN	darkgreen
MYH11	green
MYO5B	green
MYOCD	green
MYRIP	darkgreen
N4BP2L1	green
NAB1	green
NAP1L2	green
NARF	green
NCALD	green
NCEH1	green
NDFIP1	green
NDNF	green
NDP	green
NDRG2	green
NDST4	green
NEGR1	green
NEK3	green
NFASC	green
NFE2L1	green
NFE2L3	green
NFKB2	steelblue
NGEF	green
NKAIN2	darkgreen
NLGN4X	green
NLRC3	steelblue
NOL3	darkgreen
NOS2	green
NOSTRIN	darkgreen
NOVA2	darkgreen
NOX5	darkgreen
NPDC1	plum1
NPTX1	green
NPTXR	green
NPY2R	darkgreen
NQO1	green
NR0B1	green
NR0B2	plum1
NR4A2	steelblue
NR4A3	green
NRCAM	green
NRG1	green
NRG4	green
NRN1L	green
NRP1	green
NSUN6	green
NTN4	green
NTNG1	green
NUDT10	green
NUDT16	plum1
NUDT21	green
NUDT4	darkgreen
NUF2	green
NUP93	plum1
NXNL2	darkgreen
ORC1	green
OSBPL10	green
OSGIN2	green
P4HA2	green
PAG1	green
PAK1	green
PAK3	green
PANK2	green
PAPOLG	green
PARD3B	green
PARP11	green
PARP6	steelblue
PARS2	darkgreen
PARVA	green
PATZ1	green
PAWR	green
PBX3	green
PBX4	steelblue
PCDH17	green
PCDH9	darkgreen
PCDHB4	green
PCDHB8	darkgreen
PCDHGA10	green
PCDHGA5	green
PCDHGB7	green
PCOLCE2	green
PCSK1N	darkgreen
PDE1A	green
PDE9A	green
PDGFB	plum1
PDGFC	plum1
PDGFD	green
PDZD11	steelblue
PDZRN3	plum1
PEG10	darkgreen
PFKFB3	green
PFKP	darkgreen
PGA5	green
PGBD5	darkgreen
PGD	plum1
PGM5	green
PGPEP1L	darkgreen
PHF8	steelblue
PHYH	steelblue
PHYHIPL	green
PICK1	green
PIGK	steelblue
PIK3CA	green
PINX1	darkgreen
PIPOX	darkgreen
PKD1L3	darkgreen
PKMYT1	darkgreen
PKP4	green
PLA2G5	green
PLAT	green
PLCD3	green
PLCL1	green
PLEKHG2	steelblue
PLEKHG5	green
PLEKHH2	green
PLEKHM3	steelblue
PLP1	darkgreen
PMEL	green
PNCK	darkgreen
POC1A	green
POGK	green
POLD2	darkgreen
POLR2A	steelblue
POU6F1	steelblue
PPFIBP1	green
PPIB	green
PPID	darkgreen
PPIF	green
PPM1D	green
PPM1H	green
PPM1N	steelblue
PPP1R12B	green
PPP1R14A	green
PPP1R1A	green
PPP1R9A	darkgreen
PPP2R3B	green
PPP2R5B	plum1
PPP4R4	green
PRDM1	green
PRDX6	green
PRG4	plum1
PRICKLE1	green
PRKCQ	green
PRKD2	steelblue
PRLHR	green
PRLR	green
PRPSAP1	green
PRR14	steelblue
PRR15	green
PRRT4	green
PRSS27	green
PRSS35	green
PTCRA	steelblue
PTGER2	green
PTGIS	green
PTPMT1	steelblue
PTPN13	green
PTPRD	green
PTPRM	plum1
PTPRZ1	green
PURG	green
RAB4A	darkgreen
RAD51D	green
RALB	darkgreen
RARG	steelblue
RASGRP3	green
RASSF6	green
RBBP7	steelblue
RBM20	green
RBM46	green
RCC2	green
RDH14	green
REG3G	green
RET	darkgreen
RETSAT	green
RFTN1	steelblue
RFTN2	green
RHOB	plum1
RHOV	steelblue
RIMS1	green
RIMS2	darkgreen
RINL	green
RNASE4	green
RNF103	green
RNF11	green
RNF122	steelblue
RNF44	steelblue
RORB	darkgreen
RPAIN	green
RPGR	darkgreen
RPL7L1	steelblue
RPS6KA5	green
RPS6KA6	green
RPS6KC1	green
RRAS2	darkgreen
RSPH4A	green
RTN4	green
RTN4RL1	green
S100B	green
S1PR3	plum1
SALL2	green
SAMD11	green
SAV1	green
SBDS	plum1
SBK1	green
SCARA3	green
SCARB2	green
SCIN	steelblue
SCN5A	green
SDCBP2	steelblue
SEC14L2	darkgreen
SEC14L5	green
SECISBP2	steelblue
SEMA3A	darkgreen
SEMA3C	green
SEMA5A	green
SERPINA6	green
SERPINE2	green
SERPINE3	green
SERPING1	steelblue
SESN3	green
SESTD1	darkgreen
SFRP4	green
SGCD	green
SGCG	green
SGK2	darkgreen
SH3GL3	green
SHANK1	plum1
SHBG	green
SHC3	darkgreen
SHISA2	green
SIGLEC11	green
SIGMAR1	steelblue
SIK1	green
SIRT1	steelblue
SIX5	plum1
SKIL	green
SLC16A3	darkgreen
SLC16A9	green
SLC1A4	plum1
SLC24A2	green
SLC24A3	green
SLC25A27	green
SLC25A28	steelblue
SLC27A6	green
SLC2A1	darkgreen
SLC2A9	green
SLC30A5	green
SLC35E3	darkgreen
SLC38A2	plum1
SLC44A5	green
SLC46A3	green
SLC6A13	green
SLC6A16	green
SLC6A17	green
SLC6A8	darkgreen
SLC7A4	darkgreen
SLC7A9	plum1
SLC9B1	green
SLITRK2	darkgreen
SLITRK4	green
SLITRK6	green
SMAD1	green
SMAD9	green
SMAGP	darkgreen
SMC6	darkgreen
SMO	green
SMPDL3A	green
SMPDL3B	green
SNED1	green
SNRNP40	green
SNRPN	green
SOD2	green
SOD3	green
SORD	green
SOX4	green
SOX5	green
SOX6	darkgreen
SPAG8	green
SPECC1	plum1
SPIN1	green
SPRR2F	green
SRGAP3	green
SRSF6	darkgreen
SS18L1	steelblue
ST6GAL1	green
ST6GAL2	green
STAMBPL1	green
STAR	green
STMN1	green
SULT1C4	green
SUN1	green
SVIP	green
SYCP2	green
SYNDIG1	plum1
SYT1	darkgreen
SYT11	green
SYT2	darkgreen
SYTL4	green
SYTL5	green
TADA1	green
TAS2R3	plum1
TASP1	green
TBC1D22A	green
TBC1D4	green
TBRG1	steelblue
TCEAL1	green
TCEAL7	green
TCF7	steelblue
TCF7L2	steelblue
TCHP	darkgreen
TCP11L1	darkgreen
TDGF1	darkgreen
TEAD1	green
TEC	plum1
TECRL	darkgreen
TEK	green
TET1	green
TEX22	darkgreen
TEX9	darkgreen
TF	darkgreen
TGDS	green
TGFB2	plum1
THBS1	steelblue
THSD1	green
THUMPD1	green
TIAM2	green
TLR3	green
TMC5	green
TMCO4	green
TMEFF1	green
TMEM104	green
TMEM106A	steelblue
TMEM117	green
TMEM125	green
TMEM138	darkgreen
TMEM44	green
TMEM51	steelblue
TMEM65	green
TMEM72	green
TMEM87A	green
TMEM88	steelblue
TMEM98	green
TMEM99	green
TMIGD2	steelblue
TMOD1	green
TMPRSS11D	green
TMSB15A	green
TMTC2	green
TMTC4	green
TNFAIP1	plum1
TNFAIP3	steelblue
TNFAIP6	green
TNFRSF11B	green
TNFRSF19	darkgreen
TNFSF11	green
TNFSF4	green
TNS4	darkgreen
