Gene	Color
KCNE3	green
KCNH1	green
KCNJ16	midnightblue
KCNJ2	green
KCNK3	green
KCNMB3	midnightblue
KDR	midnightblue
KERA	green
KIAA1109	midnightblue
KIAA1841	midnightblue
KIF11	green
KIF18B	green
KLHDC9	green
KLHL13	green
KLHL6	midnightblue
KLHL7	green
KRT23	green
KRTDAP	green
LAP3	green
LARP4	green
LATS2	green
LAYN	green
LDLR	green
LEFTY2	midnightblue
LEPROTL1	green
LGALS8	green
LGR4	green
LHFPL2	green
LIMCH1	green
LIN7C	green
LITAF	midnightblue
LOX	green
LPCAT2	midnightblue
LRG1	green
LRP12	green
LRP2BP	midnightblue
LRRC20	green
LRRC73	green
LRRC8A	green
LRRC8E	green
LSAMP	green
LXN	midnightblue
LYG1	midnightblue
LYN	green
LYPD6	green
LYRM2	green
LYSMD2	green
MAN1A1	green
MAN2A1	green
MAOB	green
MAP1LC3B	green
MAP1LC3C	green
MAP3K10	green
MAP3K4	midnightblue
MAP3K5	green
MAP4K4	green
MAST4	midnightblue
MAVS	green
MBTPS2	green
MCFD2	green
MCL1	green
MCPH1	midnightblue
MCTP2	green
MDFIC	green
ME1	green
MEST	green
MEX3B	midnightblue
MFSD3	midnightblue
MGLL	green
MINK1	midnightblue
MINPP1	green
MKLN1	green
MLEC	midnightblue
MLLT1	green
MMP10	midnightblue
MMP27	green
MOB3B	green
MOSPD2	green
MOV10L1	green
MPST	green
MRAS	green
MRM1	green
MRPL37	green
MRPS2	midnightblue
MRPS22	midnightblue
MRPS6	green
MTCP1	green
MTFMT	midnightblue
MTRF1L	green
MUSTN1	green
MUTYH	green
MX1	green
MX2	green
MYBL2	green
MYCBP2	midnightblue
MYL12A	green
MYL12B	green
MYO1E	midnightblue
MYO5A	green
NAA20	green
NAGS	green
NAMPT	green
NCEH1	green
NCK1	green
NCOA7	green
NDRG1	green
NDUFS7	green
NEB	midnightblue
NGFR	green
NID2	green
NIPAL2	green
NOL12	green
NOMO2	green
NOS1AP	green
NQO1	green
NR1H3	green
NR4A1	green
NR4A3	green
